1800000	16426	5
1800000	17588	5
1800000	27961	1
1800000	43617	5
1800000	62767	5
1800000	67318	5
1800000	85773	1
1800000	99468	5
1800000	112134	5
1800000	131205	5
1800001	3517	5
1800001	9595	4
1800001	19659	5
1800001	29798	4
1800001	33496	5
1800001	65049	5
1800001	72253	1
1800001	89035	5
1800001	123229	5
1800001	130413	5
1800002	6049	3
1800002	11534	5
1800002	20937	5
1800002	55446	5
1800002	74963	2
1800002	80227	5
1800002	80457	2
1800002	96724	5
1800002	128803	5
1800002	132160	5
